date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:07:38	371/371	---M--	200	added ('OK')	text/plain	date:Sun,%2029%20Jan%202023%2013:07:38%20GMT	https://www.npokerslot.com/robots.txt		(from )
22:07:39	434128/434128	---MCZ	200	added ('OK')	text/html	etag:W/%22f680e57444ac7938574d4c31a37bb873%22	https://www.npokerslot.com/	C:/My%20Web%20Sites/https___www.npokerslot.com_/www.npokerslot.com/index.html	(from )
22:07:40	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/https___www.npokerslot.com_/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.npokerslot.com/)
22:07:40	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/https___www.npokerslot.com_/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.npokerslot.com/)
22:07:40	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2025%20Jan%202023%2017:58:33%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/https___www.npokerslot.com_/polyfill.io/v3/polyfill.mind82c.js	(from https://www.npokerslot.com/)
22:07:41	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/My%20Web%20Sites/https___www.npokerslot.com_/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://www.npokerslot.com/)
22:07:42	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Jan%202023%2013:07:41%20GMT	https://www.npokerslot.com/decodeURIComponent(e	C:/My%20Web%20Sites/https___www.npokerslot.com_/www.npokerslot.com/decodeURIComponent(e	(from https://www.npokerslot.com/)
22:07:44	362/362	---M--	200	added ('OK')	text/xml	date:Sun,%2029%20Jan%202023%2013:07:43%20GMT	https://www.npokerslot.com/sitemap.xml	C:/My%20Web%20Sites/https___www.npokerslot.com_/www.npokerslot.com/sitemap.xml	(from https://www.npokerslot.com/)
22:07:44	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Jan%202023%2013:07:44%20GMT	https://www.npokerslot.com/feed.xml	C:/My%20Web%20Sites/https___www.npokerslot.com_/www.npokerslot.com/feed.xml	(from https://www.npokerslot.com/)
22:07:45	83944/83944	---M-Z	200	added ('OK')	application/javascript	etag:W/%22923dd660452333cac42ea273355e5924%22	https://static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/thunderbolt-commons.62201884.bundle.min.js	C:/My%20Web%20Sites/https___www.npokerslot.com_/static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/thunderbolt-commons.62201884.bundle.min.js	(from https://www.npokerslot.com/)
22:07:45	173436/173436	---M-Z	200	added ('OK')	application/javascript	etag:W/%22fc134f3e67362ccb83fafd14d4328bb9%22	https://static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/main.0ea1ca3c.bundle.min.js	C:/My%20Web%20Sites/https___www.npokerslot.com_/static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/main.0ea1ca3c.bundle.min.js	(from https://www.npokerslot.com/)
22:07:45	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/My%20Web%20Sites/https___www.npokerslot.com_/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://www.npokerslot.com/)
22:07:46	12463/12463	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263d498e143f421cc44dfb64f22fef270%22	https://static.parastorage.com/unpkg/react@16.14.0/umd/react.production.min.js	C:/My%20Web%20Sites/https___www.npokerslot.com_/static.parastorage.com/unpkg/react@16.14.0/umd/react.production.min.js	(from https://www.npokerslot.com/)
22:07:46	7897/7897	---M-Z	200	added ('OK')	application/javascript	etag:W/%2282ef8cd522818464cafdf4bf58ab1ffa%22	https://static.parastorage.com/services/tag-manager-client/1.705.0/siteTags.bundle.min.js	C:/My%20Web%20Sites/https___www.npokerslot.com_/static.parastorage.com/services/tag-manager-client/1.705.0/siteTags.bundle.min.js	(from https://www.npokerslot.com/)
22:07:47	28540/28540	---M-Z	200	added ('OK')	application/javascript	etag:W/%221a43b92000b13afb468cf1e405fa25db%22	https://static.parastorage.com/services/wix-perf-measure/1.1051.0/wix-perf-measure.umd.min.js	C:/My%20Web%20Sites/https___www.npokerslot.com_/static.parastorage.com/services/wix-perf-measure/1.1051.0/wix-perf-measure.umd.min.js	(from https://www.npokerslot.com/)
